publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-11443413-B2,Vehicle camera system for outside view and trailer aid ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Masashi Nakagawa, Katsumi Nagata",12/9/2020,9/13/2022,2022
US-2022237952-A1,Systems and methods for modeling electric vehicle towing ,"Ford Global Technologies, Llc","Erik Biberstein, Stuart C. Salter, Justin Carmen Campanaro, Katherine Howard-Cone, Jacob DOAN",1/27/2021,7/28/2022,2022
US-2023009714-A1,Battery ledger management system and method of battery ledger management ,"Sk On Co., Ltd.","Da Eun JEONG, Tae Kyun Kim, Sun Kyu Park, Tae Hyung HEO",7/9/2021,1/12/2023,2023
US-11609279-B1,Vehicle systems and related power module health monitoring methods ,GM Global Technology Operations LLC,Jinming XU,3/9/2022,3/21/2023,2023
US-2022032932-A1,Image sensor for processing sensor data to reduce data traffic to host system ,"Micron Technology, Inc.","Poorna Kale, Amit Gattani",7/29/2020,2/3/2022,2022
US-2023101550-A1,Energy storage systems and methods for managing increased peak demand ,Sparkion Power Algorithms Ltd,Tomer Bentzion,3/9/2020,3/30/2023,2023
US-2023216330-A1,Supercapacitor and lead-acid battery hybrid battery with charging capability ,"Sustainable Energy Technologies, Inc.",John Cronin,12/30/2021,7/6/2023,2023
US-2023219569-A1,Personalized vehicle operation for autonomous driving with inverse reinforcement learning ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Zhouqiao Zhao, Ziran Wang, Rohit Gupta, Kyungtae Han, Prashant Tiwari",1/10/2022,7/13/2023,2023
US-2021316631-A1,Systems and Methods for Charging Electric Vehicles ,"Revitalize Charging Solutions, Inc.",Edward Morgan,4/9/2020,10/14/2021,2021
US-2022144100-A1,Magnetic levitation capture arm system for vehicle ,Terence Alan Tamutus,Terence Alan Tamutus,11/12/2020,5/12/2022,2022
US-2022342949-A1,"Methods, media, and systems for enhancing a web browsing session ","Capital One Services, Llc","Elizabeth Furlan, Steven Dang, Chih-Hsiang Chow",4/26/2021,10/27/2022,2022
US-2021245775-A1,System and method to detect driver behavior and employ driver incentives ,Dish Network L.L.C.,"Prakash Subramanian, Nicholas Newell, John Calef, Ribhav Agarwal, Robert Laughlin, Matthew Xi",2/11/2020,8/12/2021,2021
US-11411474-B1,Systems and methods for monitoring health of a motor ,"Beta Air, Llc","Brandon White, Stephen Widdis",11/17/2021,8/9/2022,2022
US-2024047774-A1,Secondary Battery And Monitoring System Of Secondary Battery ,"Semiconductor Energy Laboratory Co., Ltd.","Takeshi Osada, Yosuke Tsukamoto, Takayuki Ikeda",12/16/2020,2/8/2024,2024
US-2023256997-A1,Intelligent beam prediction method ,Lg Electronics Inc.,Kyungho Lee,6/3/2020,8/17/2023,2023
US-2023101396-A1,"Methods, systems, apparatuses, and devices for facilitating charging of electric vehicles ",Mayur Mukund Kamalakar,Mayur Mukund Kamalakar,3/17/2022,3/30/2023,2023
US-2024378442-A1,Efficient incremental learning through probabilistic training set selection ,"Ford Global Technologies, Llc",Lucas Ross,10/13/2020,11/14/2024,2024
US-12141521-B2,Method for editing text information ,Actionpower Corp.,"Jihwa Lee, Jaeyup SONG",4/12/2023,11/12/2024,2024
US-2023101946-A1,System and method for intelligent diagnosis ,Dr. Dadjou Dentistry Professional Corporation,Hamed DADJOU,9/29/2021,3/30/2023,2023
US-2023047307-A1,Methods and systems for multi-omic interventions ,"Food Rx and AI, Inc.","Ranjan Sinha, Shreyas V. Kumbhare, Inti Pedroso, Daniel E. Almonacid",8/6/2021,2/16/2023,2023
US-12125290-B2,Vehicle system with a safety mechanism and method of operation thereof ,"Moj.Io, Inc.",Alan Messer,4/28/2020,10/22/2024,2024
US-12037001-B1,Dynamic actuation map using a neural network fed by visual odometry ,Ambarella International Lp,Giulio Bacchiani,7/21/2021,7/16/2024,2024
US-2023222268-A1,Automated Generation and Refinement of Variation Parameters for Simulation Scenarios ,"Argo AI, LLC","Thomas Muehlenstaedt, Roman Nagy, Jost Poettner",1/11/2022,7/13/2023,2023
US-2023222267-A1,Uncertainty Based Scenario Simulation Prioritization and Selection ,"Argo AI, LLC","Thomas Muehlenstaedt, Roman Nagy, Jost Pöttner",1/11/2022,7/13/2023,2023
US-11235734-B2,Proximity based vehicle security system ,"Toyota Motor Engineering & Manufacturing North America, Inc.",Katsumi Nagata,2/7/2020,2/1/2022,2022
US-2024199067-A1,Apparatus and Method for Controlling Autonomous Driving Vehicle ,"Hyundai Motor Company, Kia Corporation",Jeong Ki Hong,12/16/2022,6/20/2024,2024
US-2024043019-A1,"Information processing device, method, non-transitory storage medium, and vehicle ",Toyota Jidosha Kabushiki Kaisha,Noritake Mitsutani,11/10/2020,2/8/2024,2024
US-2022336851-A1,All-solid-state battery control system ,Subaru Corporation,"Kohei Nanbu, Norio Suzuki, Hiroshi Abe, Tomoya IIOKA",4/14/2021,10/20/2022,2022
US-2023264584-A1,Inductive charging station ,Ev Charging Solutions Llc,"Luis M. Ortiz, Kermit D. Lopez",1/6/2022,8/24/2023,2023
US-11959968-B2,Method and system with battery management ,"Samsung Electronics Co., Ltd.","Sagar BHARATHRAJ, Anshul KAUSHIK, Rajkumar Subhash Patil, Shashishekara Parampalli ADIGA, Tae Won Song",9/10/2020,4/16/2024,2024
US-2023033297-A1,Complementary control system for an autonomous vehicle ,"Argo AI, LLC","Nicolas Vandapel, Shadi A. Jammoul, Russell Schloss, Basel Alghanem, Benjamin D. Ballard, Yujun Wang, Limin Wu",7/29/2021,2/2/2023,2023
US-2024017580-A1,Robot ,Lg Electronics Inc.,Haklim LEE,10/8/2020,1/18/2024,2024
US-2024160929-A1,Device for training and managing a visual scene graph model and control method thereof ,Lg Electronics Inc.,"Sen Jia, Homa Fashandi",11/10/2022,5/16/2024,2024
US-11851214-B2,"System, method and apparatus for airship manufacture using robotics ","H2 Clipper, Inc.","Rinaldo S. Brutoco, Robert H. Shelton, Michael R. Everman",11/17/2021,12/26/2023,2023
US-2023339431-A1,Systems and methods to utilize user trajectory analysis for automatic vehicle controls ,"Toyota Research Institute, Inc., Toyota Jidosha Kabushiki Kaisha","Manuel Ludwig Kuehner, Hiroshi Yasuda",4/25/2022,10/26/2023,2023
US-2022415934-A1,Lidar sensor for vehicle apparatus ,"Aeluma, Inc.",Jonathan KLAMKIN,6/23/2021,12/29/2022,2022
US-11932278-B2,Method and apparatus for computing an estimated time of arrival via a route based on a degraded state of a vehicle after an accident and/or malfunction ,Here Global B.V.,"Jerome Beaurepaire, Leon Stenneth, Jeremy Michael YOUNG",12/2/2020,3/19/2024,2024
US-2024195175-A1,Grid adapter systems and methods ,"Adaptr, Inc.","Hassan Shahriar, Amgad El-Deib",12/9/2022,6/13/2024,2024
US-2023216317-A1,Supercapacitor system with an over voltage protection capability ,"Sustainable Energy Technologies, Inc.",John Cronin,12/30/2021,7/6/2023,2023
US-12165436-B1,Toll collection and carpool lane automation using in-vehicle computer vision and radar ,Ambarella International Lp,Shimon Pertsel,11/2/2022,12/10/2024,2024
US-2023223784-A1,Supercapacitor system with temperature control ,"Sustainable Energy Technologies, Inc.",John Cronin,12/30/2021,7/13/2023,2023
US-2023135393-A1,Techniques for organizing vehicle parking ,Jason Ratzlaff,Jason Ratzlaff,10/6/2020,5/4/2023,2023
US-2023294645-A1,Battery swapping management system and method for battery swap station ,"Nio Technology (Anhui) Co., Ltd","Yifei Wang, Jiyong ZOU",3/21/2022,9/21/2023,2023
US-2022274488-A1,Battery architecture without low voltage battery ,Volvo Car Corporation,"Örjan Spjuth, Mikael Sonesson, Sofia Lorensson",3/1/2021,9/1/2022,2022
US-2021206285-A1,Battery sharing system for electric vehicles and user compensation method based on the same ,Lg Electronics Inc.,"Joonghang KIM, Yuseok YANG",1/7/2020,7/8/2021,2021
US-2022285971-A1,Vehicle-to-vehicle charging ,Volvo Car Corporation,"Narendar Rao GANNAMANENI, Lars Johan Henrik Sjöstedt, Arsam Golriz, Niklas Smith",3/5/2021,9/8/2022,2022
US-2023406113-A1,System for cohesively harnessing multiple forms of renewable energy in electric vehicles and stationary applications ,Kaustubhan Bangalore Srivathsan,Kaustubhan Bangalore Srivathsan,7/21/2021,12/21/2023,2023
US-2024055868-A1,Electrical system for a residential site ,Larkfleet Smart Homes Limited,"Karl HICK, Simon Evans",12/23/2020,2/15/2024,2024
US-2023170732-A1,Modular power pack energy storage unit ,"Sustainable Energy Technologies, Inc.",John Cronin,12/3/2021,6/1/2023,2023
US-11514884-B2,"Driving sound library, apparatus for generating driving sound library and vehicle comprising driving sound library ","Hyundai Motor Company, Kia Motors Corporation",Kyoung-Jin Chang,6/26/2020,11/29/2022,2022
US-2024142533-A1,Targeted battery unit degredation ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Persson Signell",10/28/2022,5/2/2024,2024
US-2024027212-A1,Managing electric vehicle range in changing surroundings ,"Rivian Ip Holdings, Llc","Kamalesh Bhambare, Aratz Harold Pinter Sanchez",7/25/2022,1/25/2024,2024
US-2023297860-A1,System and method enabling application of autonomous economic agents ,Uvue Ltd,"Ali Hosseini, Humayun Munir Sheikh, Kamal Ved",4/20/2021,9/21/2023,2023
US-2022172396-A1,Vehicle position estimation apparatus ,"Honda Motor Co., Ltd.",Yuki Okuma,12/2/2020,6/2/2022,2022
US-12024195-B2,Method and system for predicting behavior of actors in an environment of an autonomous vehicle ,"Ford Global Technologies, Llc","Friederike Schneemann, Andrew T. Hartnett, Gregory Boyd Nichols, Constantin Savtchenko",6/2/2021,7/2/2024,2024
US-2022305948-A1,Control system and display device ,Toyota Jidosha Kabushiki Kaisha,"Kentaro MUNEMOTO, Kenji Nakao, Toru Ando, Yoshiyuki TSUCHIYA, Shigeki Kinomura, Yuya Aoki",3/26/2021,9/29/2022,2022
US-2024394624-A1,Management and optimization of freight delivery vehicle fleets ,Cummins Inc.,"Hoseinali Borhan, Ana Guerrero de la Pena, Lisa A. Orth-Farrell, Jairo Andres Sandoval Leon",10/8/2021,11/28/2024,2024
US-2022253078-A1,Smart energy scheduling ,Alarm.Com Incorporated,"Alexander Lawrence Reeder, Caspar John Anderegg, Gustaf Nicolaus Maxwell Lonaeus, William Converse Blanchard, Jean-Paul Martin, Benjamin Michael Machlin",2/9/2021,8/11/2022,2022
US-11574469-B2,Compute system with wear detection mechanism and method of operation thereof ,"Moj.Io, Inc.",Alan Messer,5/18/2020,2/7/2023,2023
US-2024391345-A1,Charging location selectable-type electric vehicle charging method and system ,"Fec Co., Ltd.","Sang Hwa Lee, Yoon Won LEE, Kyung Jin Lee",1/26/2021,11/28/2024,2024
US-12008683-B2,Vehicle augmented reality navigational image output device and control methods ,Lg Electronics Inc.,"Sunghwan Choi, Dukyung Jung",1/6/2020,6/11/2024,2024
US-2022363149-A1,Precision charging control of an untethered vehicle with a modular vehicle charging roadway ,David Alan Copeland,David Alan Copeland,5/12/2021,11/17/2022,2022
US-2022212658-A1,Personalized drive with occupant identification ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Katsumi Nagata, Kevin Gilleo, Masashi Nakagawa",1/5/2021,7/7/2022,2022
US-2022176971-A1,Driver Improvement ,Christian Nordh,Christian Nordh,12/5/2020,6/9/2022,2022
US-2023003826-A1,"Systems, apparatus, articles of manufacture, and methods for distributed and scalable high performance location and positioning ",Intel Corporation,"Valerie Parker, Stephen Palermo",4/26/2022,1/5/2023,2023
US-2024059169-A1,System and method for wireless vehicle battery charging ,Charging Robotics Ltd.,"Ariel DOR, Hovav GILAN, Ari MANOACH, Ariel Luzzatto, Arnon GILAN",1/4/2021,2/22/2024,2024
US-2023042433-A1,Systems and methods for assessing degradation in drive components ,Deere & Company,Brij N. Singh,8/9/2021,2/9/2023,2023
US-2024166242-A1,"Intelligent driving decision-making method, vehicle traveling control method and apparatus, and vehicle ","Huawei Technologies Co., Ltd.","Zhengchen DAI, Zhitao Wang, Shaoyu Yang, Xinyu Wang",7/29/2021,5/23/2024,2024
US-12175816-B2,Fleet data collection using a unified model to collect data from heterogenous vehicles ,"Amazon Technologies, Inc.","Bhushan RAMNANI, Yohan Martin, Florian Johannes Stadler, Michael Anthony Aleksiuk, Ivan Law",11/29/2021,12/24/2024,2024
US-2022172614-A1,Method and apparatus for determining map improvements based on detected accidents ,Here Global B.V.,"Jerome Beaurepaire, Leon Stenneth, Jeremy Michael YOUNG",12/2/2020,6/2/2022,2022
US-2024214786-A1,Vulnerable road user basic service communication protocols framework and dynamic states ,Intel Corporation,"Vesh Raj Sharma Banjade, Kathiravetpillai Sivanesan, Satish C. Jha, Leonardo Gomes Baltar",5/4/2020,6/27/2024,2024
US-2024017746-A1,Assessing present intentions of an actor perceived by an autonomous vehicle ,"Argo Al, LLC","Constantin Savtchenko, Alexander Metz, Andrew T. Hartnett, G. Peter K. Carr, Greydon Foil, Lorenzo Nardi",2/19/2021,1/18/2024,2024
US-11030460-B1,XR device for providing AR mode and VR mode and method for controlling the same ,Lg Electronics Inc.,Dahye YOON,1/6/2020,6/8/2021,2021
US-2021233315-A1,Xr device for providing ar mode and vr mode and method for controlling the same ,Lg Electronics Inc.,Hansaem JUNG,1/29/2020,7/29/2021,2021
US-2024192009-A1,Drone-based offroad vehicle routing ,GM Global Technology Operations LLC,"William C. Araujo, Russell A. Patenaude, Luke J. POPIEL",12/13/2022,6/13/2024,2024
US-2023166623-A1,Computer and power balancing method ,"Toyota Jidosha Kabushiki Kaisha, Denso Corporation",Chiaki Kanda,11/29/2021,6/1/2023,2023
US-2023053134-A1,Deep network learning method using autonomous vehicle and apparatus for the same ,Electronics And Telecommunications Research Institute,"Joo-Young Kim, Kyoung-Wook Min, Yong-Woo JO, Doo-seop CHOI, Jeong-Dan Choi",8/13/2021,2/16/2023,2023
US-2023168094-A1,Methods and systems for generating a personalized routing graph for use with shared vehicle hubs ,Here Global B.V.,"Jerome Beaurepaire, Nicolas Neubauer, David Falla Cepeda",11/29/2021,6/1/2023,2023
US-2022027803-A1,Sustainable tokens for supply chain with privacy preserving protocol ,International Business Machines Corporation,"Jeronimo IRAZABAL, Mariela Claudia Lanza",7/24/2020,1/27/2022,2022
US-2022219682-A1,Methods and systems for safe out-of-lane driving ,"Argo AI, LLC",Mark Ollis,1/12/2021,7/14/2022,2022
US-2023083504-A1,Systems and methods for capturing images around vehicle for insurance claim processing ,"Rivian Ip Holdings, Llc","Geoffrey Francis Burns, Michael Slattery, Arjuna Sivasithambaresan, Erik Robert GLASER",9/3/2021,3/16/2023,2023
US-2024220977-A1,Execution of smart contracts on a blockchain using vehicle information ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",12/29/2022,7/4/2024,2024
US-2024220939-A1,Tracking vehicle maintenance information using blockchain technology ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",12/29/2022,7/4/2024,2024
US-2023278580-A1,Vehicle with mountable and removable autonomous driving system ,Toyota Jidosha Kabushiki Kaisha,"Ikuma SUZUKI, Yuta OHASHI",1/31/2020,9/7/2023,2023
US-2024288501-A1,Battery fault determination ,Dukosi Limited,"Timothy CRYMBLE, Adrian Jones, Josh Robert Leworthy, Joel SYLVESTER",7/1/2021,8/29/2024,2024
US-2024192004-A1,Fleet route physics-based modeling ,"Dana Heavy Vehicle Systems Group, Llc","Abraham Mezaael, Theyaa Matti",12/12/2022,6/13/2024,2024
US-11249195-B1,Exchange of time of day between two IoT devices ,Kiomars Anvari,Kiomars Anvari,11/29/2020,2/15/2022,2022
US-11813951-B2,DC pin localization for AC connection of electric vehicles ,Abb Schweiz Ag,"Matthew Hetrich, Gregory A. Cole",5/26/2021,11/14/2023,2023
US-12062208-B2,Multi-stage autonomous localization architecture for charging electric vehicles ,ABB E-mobility B.V.,"Matthew Hetrich, Gregory A. Cole",5/26/2021,8/13/2024,2024
US-2023335258-A1,Methods and systems for multi-omic interventions for multiple health conditions ,"Food Rx and AI, Inc.","Ranjan Sinha, Shreyas V. Kumbhare, Inti Pedroso, Bharat Joshi, Santosh K. Saravanan, Karthik M. Muthukumar, Daniel E. Almonacid",4/13/2022,10/19/2023,2023
US-2024370073-A1,System for facilitating edge analytics for power systems ,Batterycheck Llc,Michal Sastinsky,8/5/2021,11/7/2024,2024
US-2021209713-A1,Method and apparatus for providing a ride-hailing service based on user diability data ,Here Global B.V.,"Haquemobassir IMTIYAZ, Sanket PALANDE, Vinish NADAR, Danny Savla",1/3/2020,7/8/2021,2021
US-2024079875-A1,Deep reinforcement learning agent for demand response in home energy management systems ,"Qatar Foundation For Education, Science And Community Development, Qatar University","Aya Amer, Khaled Shaban, Ahmed Massoud",9/7/2022,3/7/2024,2024
US-11609258-B2,Apparatus and method for detecting cable fault based on reflectometry using AI ,"Uif (University Industry Foundation), Yonsei University","Yong-June Shin, Gu-Young KWON",11/27/2020,3/21/2023,2023
US-2022414798-A1,Apparatuses and a system for monitoring occupancy and electric vehicle charging activity at parking spaces ,James Penfold,James Penfold,3/10/2021,12/29/2022,2022
US-2023363562-A1,"Smart Mailbox receptacle and platform to ship packages and goods from a Trimodal system that includes a courier service, an automated vehicle or robot, and/or an unmanned drone. ","Daniel S O’Toole, Mark Hamm, Roger K Russell, John D Ritchison","Daniel S O’Toole, Mark Hamm, Roger K Russell, John D Ritchison",4/19/2021,11/16/2023,2023
US-11807070-B2,Mounting structure of thermal management module for vehicle ,"Hyundai Motor Company, Kia Corporation, Hanon Systems","Yeonho Kim, Jeawan Kim, Jae Yeon Kim, Jung Bum Choi, Seong Woo JEONG, In Guk Hwang",6/21/2021,11/7/2023,2023
US-2024213800-A1,Smart grid distributed operations platform ,"Utilidata, Inc.","Marissa Hummon, Brandon Thayer, Rick Steuer, Karen Studarus, Matt Taylor, Bill Schroeder, Taylor Spalt",12/23/2022,6/27/2024,2024
US-2023373530-A1,Vehicle control device and vehicle control method ,Denso Corporation,"Takuya KUME, Kazuki Izumi",3/22/2021,11/23/2023,2023
US-2024391343-A1,"Apparatus, arrangement, charging apparatus, method and computer program product for controlling charging event ",Kempower Oyj,"Esko HEINO, Juho-Eemeli VEIKKOLAINEN, Juha VARKKI",9/29/2021,11/28/2024,2024
US-2023068848-A1,Systems and methods for vehicle camera obstruction detection ,"Argo AI, LLC",Hatem Alismail,8/25/2021,3/2/2023,2023
US-2024270275-A1,Steering wheel haptics for situational awareness ,Brahmadev Sharma,Brahmadev Sharma,6/12/2021,8/15/2024,2024
US-2023421571-A1,Method for obtaining file based on over-the-air ota technology and related device ,"Huawei Technologies Co., Ltd.",Yong Wang,3/9/2021,12/28/2023,2023
US-2023209227-A1,Imaging device and electronic apparatus ,Sony Semiconductor Solutions Corporation,"Tomonori Yamashita, Atsushi Muto",7/7/2020,6/29/2023,2023
US-2024270112-A1,User interface control server and method for remote control management of marine dock electric charging stations ,Hubbell Incorporated,"John Brower, Matthew Samojeden, Ryan Bares, Daniel Golembiewski, Michael Carson",6/29/2021,8/15/2024,2024
US-11951833-B1,Infotainment system permission control while driving using in-cabin monitoring ,Ambarella International Lp,I-Chieh Wu,5/16/2021,4/9/2024,2024
US-2022363155-A1,Matrix Switches for Optimizing Resource Utilization in Large-Scale Charging Stations with Distributed Energy Resources ,"WattEV, Inc.","Emil Youssefzadeh, Marcelo Barros, Salim Youssefzadeh",5/14/2021,11/17/2022,2022
US-12103595-B2,Front vehicle body structure ,"Hyundai Motor Company, Kia Corporation","Chan Woong Jeon, ChangHak Kang, Chulhee Heo, HaeHoon Lee",12/31/2021,10/1/2024,2024
US-2023133120-A1,Big-data-based battery diagnostic system and control method therefor ,"Hyundai Motor Company, Kia Corporation","Hyun Jun JANG, Byung Soo Park, Woo Sung Kim, Jae Shin Yi",10/28/2021,5/4/2023,2023
US-2024102525-A1,Methods and apparatus to determine brake pad wear ,"Ford Global Technologies, Llc","Andrew Edward Toy, Jeremy Lerner, Taylor HAWLEY, Mohammad Abouali, Ali Abdallah",1/14/2022,3/28/2024,2024
US-2023095071-A1,Cloud-based identification and digitization system and method for advanced batteries ,Spinorx Inc.,Shahab Shokrzadeh,9/27/2021,3/30/2023,2023
US-2023373455-A1,Methods and apparatus to determine brake system health ,"Ford Global Technologies, Llc","Stuart C. Salter, Brendan Diamond, Timilehin Ogunbekun, Ryan O'Gorman, David Brian Glickman, Kenneth Patrick Mchugh",5/23/2022,11/23/2023,2023
US-2022398920-A1,Vehicle driving exit prediction method and apparatus ,"Huawei Technologies Co., Ltd.","Hao Lu, Yongxiang Tao, Jieyun DING",3/4/2020,12/15/2022,2022
US-11527028-B2,Systems and methods for monocular based object detection ,"Argo AI, LLC","Sean Foley, James Hays",11/25/2020,12/13/2022,2022
US-12091042-B2,Method and system for training an autonomous vehicle motion planning model ,"Ford Global Technologies, Llc","Christopher Cunningham, Maria Jahja",8/2/2021,9/17/2024,2024
US-2022207278-A1,Camera system to monitor the passengers in a vehicle and detect passenger activities ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Katsumi Nagata, Masashi Nakagawa",12/28/2020,6/30/2022,2022
US-2024090117-A1,Heat dissipation apparatus and in-vehicle module ,"Huawei Technologies Co., Ltd.",Yaofeng Peng,5/18/2021,3/14/2024,2024
US-2024405567-A1,Multi-hybrid power generator system and method ,Solairex Innovative Research Inc.,Deepak D. Jaisinghani,7/23/2021,12/5/2024,2024
US-2023396204-A1,Online monitoring and compensation of stator inter-turn short circuit fault in permanent magnet synchronous machines ,Magna International Inc.,"Ying Zuo, Chunyan Lai, Lakshmi Varaha Iyer",10/28/2020,12/7/2023,2023
US-2024146070-A1,Controlled energy system ,Navia Energy Inc.,Babu Jain,10/6/2020,5/2/2024,2024
US-2024217504-A1,System and method for brake pad control based on surface roughness ,"Rivian Ip Holdings, Llc","Kevin Jared Sallee, Werner Roland Naegeli, William Jang, Somphone Khamly, Michael Fei-kit Tung, Thomas Frederick Abdallah",12/30/2022,7/4/2024,2024
US-2022146277-A1,Architecture for map change detection in autonomous vehicles ,"Argo AI, LLC","John Lambert, James Hays, Francesco Ferroni, Richard L. Kwant",11/9/2020,5/12/2022,2022
US-2023106268-A1,System and Method for Generating a Planned Path Using a Phantom Vehicle ,"Argo Al, LLC","Shubhashree Venkatesh, Noe Brito, Yee-Ning Cheng, Madhav Chhura, Sebastian Dovenor, John Drake, Jonathan Pan, Jason Parraga, Scott Plant",10/5/2021,4/6/2023,2023
US-2023305895-A1,"Systems, apparatus, articles of manufacture, and methods for data driven networking ",Intel Corporation,"Roya Doostnejad, Soo Jin Tan, Valerie Parker, Stephen Palermo, John Belstner, Pranali Jhaveri, Georgia Sandoval, Daviann A. Duarte",3/25/2022,9/28/2023,2023
US-12092699-B1,Systems and methods for state of health assessment in rechargeable batteries ,Eatron Technologies Limited,"Ali Ibrahim Ozkan, Muharrem Ugur Yavas, Can Kurtulus",8/11/2023,9/17/2024,2024
US-2023399011-A1,Information data from moving and stationary iot objects to enhance deep learning algorithms for autonomous vehicles ,Kiomars Anvari,Kiomars Anvari,6/13/2022,12/14/2023,2023
US-2021229506-A1,Central tire inflation system ,"Toyota Motor Engineering & Manufacturing North America, Inc.",Aaron France,1/24/2020,7/29/2021,2021
US-12095298-B2,"Apparatus for management of a battery, vehicle system having the same and method thereof ","Hyundai Motor Company, Kia Corporation","Joon Keun Yoon, Seung Beom Yoon",8/21/2020,9/17/2024,2024
US-12083860-B2,Refrigerant circulating apparatus for vehicle ,"Hyundai Motor Company, Kia Corporation","Yeonho Kim, Wan Je Cho, Seong-Bin Jeong, Jeawan Kim, Man Hee Park, Jae Yeon Kim, Tae Hee Kim",12/6/2021,9/10/2024,2024
US-11967888-B2,Electric motor and inverter assembly with bus bar and cooling channel ,Dana Belgium N.V.,"Joachim DRUANT, Steven VANHEE",12/11/2020,4/23/2024,2024
US-2023166601-A1,Brake control system for battery-powered machine ,Caterpillar Global Mining Equipment Llc,"Karl P Schneider, Cameron Thomas Lane",11/29/2021,6/1/2023,2023
US-2023042164-A1,Wireless battery system and related methods ,Texas Instruments Incorporated,"Ariton E. Xhafa, Ramanuja Vedantham, Minghua Fu, Jesus Daniel TORRES BARDALES, Mario Mlynek",8/9/2021,2/9/2023,2023
US-2021318135-A1,Systems and methods for augmented reality in a vehicle ,Harman Becker Automotive Systems Gmbh,"Srinivas Chandupatla, Balasubramanian Achuthan, Yerram Nalinikanth",4/11/2020,10/14/2021,2021
US-2023174079-A1,Redundant vehicle control systems based on tire sensors - load estimation ,Volvo Truck Corporation,Chidambaram Subramanian,12/2/2021,6/8/2023,2023
US-2024192657-A1,Model for a manufacturing process ,"Rivian Ip Holdings, Llc","Omar EL-QAWASMEH, Fasil Mulatu Kero",12/12/2022,6/13/2024,2024
US-2024210528-A1,"Receiving Optical System, Lidar System, and Terminal Device ","Huawei Technologies Co., Ltd.","Kai An, Anliang Yu, Shuai Wang, Sunjie QIU, Wei Han",8/13/2021,6/27/2024,2024
US-2024166230-A1,Systems and methods for active road surface maintenance with cloud-based mobility digital twin ,"Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha","Ziran Wang, Rohit Gupta, Kyungtae Han",11/22/2022,5/23/2024,2024
US-2022017122-A1,System and method for providing social-stage spatio-temporal multi-modal future forecasting ,"Honda Motor Co., Ltd.","Srikanth Malla, Chiho Choi, Behzad Dariush",7/17/2020,1/20/2022,2022
US-2025046132-A1,Method and device for providing at least one emission value for a means of transport ,Jenoptik Robot Gmbh,"Stefan Kienitz, Andreas Beyer, Torben Potthoff, Oliver Blanke",12/21/2021,2/6/2025,2025
US-2023150510-A1,Methods and systems for tracking a mover's lane over time ,"Argo AI, LLC","Greydon Foil, G. Peter K. Carr, Andrew T. Hartnett, Constantin Savtchenko",10/28/2020,5/18/2023,2023
US-11842430-B2,Methods and systems for ground segmentation using graph-cuts ,"Ford Global Technologies, Llc",John Peterson,12/4/2020,12/12/2023,2023
US-12180680-B2,Work system ,"Honda Motor Co., Ltd.","Kojiro Takasu, Manato Kuwabara, Masaki Hagiwara, Yusuke Nakajima",3/24/2020,12/31/2024,2024
US-2023228446-A1,Scalable control of heat pumps with limited smart-home devices ,Cornell University,"Zachary Lee, Ke Zhang",1/19/2022,7/20/2023,2023
US-2024080691-A1,"Communication Method, Apparatus, and System ","Huawei Technologies Co., Ltd.","Nannan Liu, Junren Chang",5/10/2021,3/7/2024,2024
US-2022266822-A1,Systems and methods for determining future intentions of objects ,"Argo AI, LLC","Lorenzo Nardi, Andreas Eberlein, Constantin Savtchenko, Greydon Foil, Andrew T. Hartnett, G. Peter K. Carr, Jagjeet Singh, Bangjie Liu",2/19/2021,8/25/2022,2022
US-2023230471-A1,Cooperative traffic congestion detection for connected vehicular platform ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Mehmet Ali Guney, Rui Guo, Prashant Tiwari",1/14/2022,7/20/2023,2023
US-2022185318-A1,"Information processing device, information processing system, and program ",Toyota Jidosha Kabushiki Kaisha,"Masato Ehara, Kazuhiro Shimizu, Satoshi Tanabe, Nanae TAKADA, Naohiro Seo",12/15/2020,6/16/2022,2022
US-2022194478-A1,Front Vehicle Body Structure ,"Hyundai Motor Company, Kia Corporation",Won Ki SONG,12/17/2020,6/23/2022,2022
US-2023107033-A1,"Method for optimizing decision-making regulation and control, method for controlling traveling of vehicle, and related apparatus ","Huawei Technologies Co., Ltd.","Bin Wang, Yuzheng Zhuang, Wulong LIU",4/23/2020,4/6/2023,2023
US-12162368-B2,Computerized system and method for dynamic camera and scene adjustment for autonomous charging ,Abb Schweiz Ag,Matthew Hetrich,6/25/2021,12/10/2024,2024
